n_robots,seed,arm,pose_rmse,align_rmse,trust_yield,n_delivered
3,11,plus_0.60_5,0.2687022399317614,0.2536021929275199,0.30718983499192837,24
3,12,fifo,0.4686816961542522,0.5076171787631836,0.38303457112816414,24
3,12,bacs_gated,0.48541259377496315,0.22930186118003693,0.30493074560838984,24
3,12,plus_0.30_6,0.37735759900538834,0.24014749659843482,0.37272647070685566,24
3,12,plus_0.60_5,0.42319575483672295,0.23106900107419498,0.3569207503509338,24
3,13,fifo,0.4088183534487642,0.3647412796539086,0.3382234744773352,24
3,13,bacs_gated,0.43410887442411333,0.2922911419771626,0.19624944832887767,24
3,13,plus_0.30_6,0.4110531008990269,0.30360301750734736,0.19605070717738315,24
3,13,plus_0.60_5,0.4499372355277642,0.25317799793528445,0.35185974925307306,24
3,14,fifo,0.4494533585447393,0.3522713352398847,0.42111282593844573,24
3,14,bacs_gated,0.3235956663671969,0.1746318772757594,0.36312524742215935,24
3,14,plus_0.30_6,0.3234788457539932,0.1744551863790205,0.37791216962279356,24
3,14,plus_0.60_5,0.3234053410649944,0.17492602339251642,0.38575276658215807,24
3,15,fifo,0.5450918734846054,0.3981094983833453,0.43873966315072493,24
3,15,bacs_gated,0.3172608956616501,0.2997374629094596,0.3427200394933432,24
3,15,plus_0.30_6,0.33744136348327364,0.2813915446514976,0.3306588618312026,24
3,15,plus_0.60_5,0.2674358098563659,0.24477128821434405,0.29461705581924874,24
3,16,fifo,0.22710021723799012,0.3289868057964081,0.3840762308290698,24
3,16,bacs_gated,0.20587929297192467,0.18669494916087803,0.48633180789710634,24
3,16,plus_0.30_6,0.3333398588191978,0.17358432401141263,0.4223964481415668,24
3,16,plus_0.60_5,0.35950172576045003,0.17557007389090723,0.4324048592807281,24
3,17,fifo,0.32590752608445217,0.5105769700528741,0.45298675989313936,24
3,17,bacs_gated,0.32616824965624364,0.15355575071606065,0.4593985765443731,24
3,17,plus_0.30_6,0.32616824965624364,0.15355575071606065,0.4593985765443731,24
3,17,plus_0.60_5,0.31061488750466903,0.16113122466879468,0.4250184571487436,24
3,18,fifo,0.39401458308166293,0.25189627928228764,0.4728853329679497,24
3,18,bacs_gated,0.41911044492805405,0.20751858420493016,0.41562383733428776,24
3,18,plus_0.30_6,0.4579411442784593,0.20864437755752085,0.39886158313676234,24
3,18,plus_0.60_5,0.3576112616582035,0.20692241775463988,0.42961730409092214,24
3,19,fifo,0.7708901154292219,0.7363153467993379,0.4255676998429753,24
3,19,bacs_gated,0.35935769395706435,0.24516610414210468,0.30352202762302455,24
3,19,plus_0.30_6,0.43916704041362975,0.3512177314198824,0.27993002460036254,24
3,19,plus_0.60_5,0.4837943769250732,0.48143267236797865,0.2841512937161142,24
3,20,fifo,0.5616555112729924,0.39637670184925317,0.43976279279767727,24
3,20,bacs_gated,0.76043757222984,0.4117877508208234,0.40534565078265916,24
3,20,plus_0.30_6,0.7201640871908817,0.38029083859722085,0.37757265285385655,24
3,20,plus_0.60_5,0.6357917789355872,0.38122290220140886,0.36351837030977746,24
3,21,fifo,0.3471962224293129,0.3555466961440216,0.45315120818571497,24
3,21,bacs_gated,0.4035761686759168,0.19936310024587073,0.40453706326854927,24
3,21,plus_0.30_6,0.40846233713570007,0.20247431456206436,0.3941538706333972,24
3,21,plus_0.60_5,0.40049939003337776,0.1741199603628083,0.4169287904274246,24
3,22,fifo,0.660851650219937,0.7251779772604394,0.24525705009045576,24
3,22,bacs_gated,0.4547430868858556,0.21722549607539268,0.3848378315679389,24
3,22,plus_0.30_6,0.5512136594165326,0.2014574850134847,0.3761353013171191,24
3,22,plus_0.60_5,0.4224124451245187,0.21407162679354355,0.3523910958386116,24
3,23,fifo,0.35850605789032247,0.5078054430393086,0.3225298811002147,24
3,23,bacs_gated,0.42401876957459816,0.1665489117372757,0.34089540754708053,24
3,23,plus_0.30_6,0.45413845294794497,0.1681184396505506,0.323905047463176,24
3,23,plus_0.60_5,0.37422142080672316,0.23735954599995127,0.34658090153141524,24
3,24,fifo,0.4726169159521068,0.45405109677627453,0.367113326912234,24
3,24,bacs_gated,0.7536583542305393,0.24666978291751454,0.3408390452512722,24
3,24,plus_0.30_6,0.6912958916558279,0.2171807768116782,0.3460501585527031,24
3,24,plus_0.60_5,0.6120776757501025,0.19093818091763182,0.30015192511111266,24
3,25,fifo,0.19037334939393177,0.3416579372585363,0.45401630345358956,24
3,25,bacs_gated,0.39302696201731224,0.22856862014877646,0.36924408924983537,24
3,25,plus_0.30_6,0.3284333954662731,0.24310332721495428,0.30632220325548437,24
3,25,plus_0.60_5,0.3275419615520448,0.26770805544812576,0.3037626138262412,24
3,26,fifo,0.7880614296292195,0.25434022279783597,0.3693058419828265,24
